,category
0,dairy-milk
1,meat-lamb
2,meat-beef
3,liquor
4,spices
5,vegetable-mushrooms
6,vegetable-squash
7,fruit-candy
8,meat-sausage
9,legumes
10,fruit
11,vinegars
12,fruit-tropical
13,condiments
14,legumes-nuts
15,flours
16,fruit-melons
17,vegetable-greens
18,thickeners
19,dairy-cheese
20,vegetable-olives
21,vegetable-tuber
22,vegetable-peppers
23,wine
24,salt
25,seafood-fish
26,seafood-shellfish
27,vegetable-sprouts
28,vegetable-sea
29,fruit-berries
30,meat-other
31,vegetable-avocados
32,extracts
33,dairy-non
34,sweetener
35,meat-coldcuts
36,miscellaneous
37,cookies
38,meat-miscellaneous
39,beer
40,fruit-pome
41,fruit-dry
42,herbs
43,meat-bacon
44,seeds-rice
45,seafood-caviar
46,chocolate
47,vegetable-eggplant
48,cakes
49,dairy-butters
50,vegetable-stalk
51,flowers
52,fruit-juice
53,fruit-stone
54,fruit-preserves
55,fruits-preserves
56,vegetable-onions
57,dairy-cultured
58,bread
59,vegetable-cucumber
60,vegetable-flower
61,vegetable-fruits
62,vegetable-bean
63,vegetable-cabbage
64,meat-pork
65,vegetable-root
66,seeds-corn
67,vegetable-ginger
68,vegetable-potatoes
69,oils
70,crackers
71,sugars
72,vegetable-pods
73,seeds-barley
74,vegetable-sweet potatoes
75,vegetable-tomatoes
76,vegetable-ben
77,seeds-grain
78,fruit-citrus
79,seeds-wheat
80,bitters
81,seeds
82,meat-poultry
83,meat-veal
84,seeds-buckwheat
85,vegetable-garlic
86,candy
87,dairy-egg
88,vegetable-herb
89,seeds-oats
90,extract
91,vegetable-peas
92,category
93,dairy
94,vegetable-other
95,seeds-rye
96,seeds-spelt
